name,slug,value,date_of_information,ranking,region
"Mongolia","mongolia","8.62","2018 est.","1","East and Southeast Asia"
"Mozambique","mozambique","4.17","2018 est.","2","Africa"
"South Africa","south-africa","2.40","2018 est.","3","Africa"
"India","india","1.15","2018 est.","4","South Asia"
"Indonesia","indonesia","1.06","2018 est.","5","East and Southeast Asia"
"Kazakhstan","kazakhstan","0.99","2018 est.","6","Central Asia"
"Australia","australia","0.78","2018 est.","7","Australia and Oceania"
"Colombia","colombia","0.75","2018 est.","8","South America"
"China","china","0.57","2018 est.","9","East and Southeast Asia"
"Tajikistan","tajikistan","0.54","2018 est.","10","Central Asia"
"Russia","russia","0.53","2018 est.","11","Central Asia"
"Afghanistan","afghanistan","0.45","2018 est.","12","South Asia"
"Botswana","botswana","0.45","2018 est.","13","Africa"
"Ukraine","ukraine","0.42","2018 est.","14","Europe"
"Zimbabwe","zimbabwe","0.40","2018 est.","15","Africa"
"Vietnam","vietnam","0.35","2018 est.","16","East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0.34","2018 est.","17","Europe"
"Kosovo","kosovo","0.31","2018 est.","18","Europe"
"Poland","poland","0.27","2018 est.","19","Europe"
"Serbia","serbia","0.25","2018 est.","20","Europe"
"Kyrgyzstan","kyrgyzstan","0.21","2018 est.","21","Central Asia"
"United States","united-states","0.20","2018 est.","22","North America"
"Bulgaria","bulgaria","0.14","2018 est.","23","Europe"
"Czechia","czechia","0.14","2018 est.","24","Europe"
"Montenegro","montenegro","0.12","2018 est.","25","Europe"
"Eswatini","eswatini","0.10","2018 est.","26","Africa"
"Canada","canada","0.08","2018 est.","27","North America"
"Philippines","philippines","0.07","2018 est.","28","East and Southeast Asia"
"Pakistan","pakistan","0.06","2018 est.","29","South Asia"
"Uzbekistan","uzbekistan","0.06","2018 est.","30","Central Asia"
"Turkey (Turkiye)","turkey-turkiye","0.05","2018 est.","31","Middle East"
"Greece","greece","0.04","2018 est.","32","Europe"
"Zambia","zambia","0.04","2018 est.","33","Africa"
"Albania","albania","0.03","2018 est.","34","Europe"
"Malawi","malawi","0.03","2018 est.","35","Africa"
"Mexico","mexico","0.03","2018 est.","36","North America"
"New Zealand","new-zealand","0.03","2018 est.","37","Australia and Oceania"
"Niger","niger","0.03","2018 est.","38","Africa"
"Romania","romania","0.03","2018 est.","39","Europe"
"Slovenia","slovenia","0.03","2018 est.","40","Europe"
"Thailand","thailand","0.03","2018 est.","41","East and Southeast Asia"
"Bangladesh","bangladesh","0.02","2018 est.","42","South Asia"
"Germany","germany","0.02","2018 est.","43","Europe"
"Malaysia","malaysia","0.02","2018 est.","44","East and Southeast Asia"
"Tanzania","tanzania","0.02","2018 est.","45","Africa"
"Brazil","brazil","0.01","2018 est.","46","South America"
"Burma","burma","0.01","2018 est.","47","East and Southeast Asia"
"Chile","chile","0.01","2018 est.","48","South America"
"Georgia","georgia","0.01","2018 est.","49","Middle East"
"Hungary","hungary","0.01","2018 est.","50","Europe"
"Iran","iran","0.01","2017 est.","51","Middle East"
"Slovakia","slovakia","0.01","2018 est.","52","Europe"
"Algeria","algeria","0.00","2018 est.","53","Africa"
"American Samoa","american-samoa","0.00","2018 est.","54","Australia and Oceania"
"Angola","angola","0.00","2018 est.","55","Africa"
"Antigua and Barbuda","antigua-and-barbuda","0.00","2018 est.","56","Central America and the Caribbean"
"Argentina","argentina","0.00","2018 est.","57","South America"
"Armenia","armenia","0.00","2018 est.","58","Middle East"
"Austria","austria","0.00","2018 est.","59","Europe"
"Azerbaijan","azerbaijan","0.00","2018 est.","60","Middle East"
"Bahamas, The","bahamas-the","0.00","2018 est.","61","Central America and the Caribbean"
"Bahrain","bahrain","0.00","2018 est.","62","Middle East"
"Barbados","barbados","0.00","2018 est.","63","Central America and the Caribbean"
"Belarus","belarus","0.00","2018 est.","64","Europe"
"Belgium","belgium","0.00","2018 est.","65","Europe"
"Belize","belize","0.00","2018 est.","66","Central America and the Caribbean"
"Benin","benin","0.00","2018 est.","67","Africa"
"Bhutan","bhutan","0.00","2018 est.","68","South Asia"
"Bolivia","bolivia","0.00","2018 est.","69","South America"
"Brunei","brunei","0.00","2018 est.","70","East and Southeast Asia"
"Burkina Faso","burkina-faso","0.00","2018 est.","71","Africa"
"Burundi","burundi","0.00","2018 est.","72","Africa"
"Cabo Verde","cabo-verde","0.00","2018 est.","73","Africa"
"Cambodia","cambodia","0.00","2018 est.","74","East and Southeast Asia"
"Cameroon","cameroon","0.00","2018 est.","75","Africa"
"Cayman Islands","cayman-islands","0.00","2018 est.","76","Central America and the Caribbean"
"Central African Republic","central-african-republic","0.00","2018 est.","77","Africa"
"Chad","chad","0.00","2018 est.","78","Africa"
"Comoros","comoros","0.00","2018 est.","79","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.00","2018 est.","80","Africa"
"Congo, Republic of the","congo-republic-of-the","0.00","2018 est.","81","Africa"
"Costa Rica","costa-rica","0.00","2018 est.","82","Central America and the Caribbean"
"Cote d'Ivoire","cote-divoire","0.00","2018 est.","83","Africa"
"Croatia","croatia","0.00","2018 est.","84","Europe"
"Cuba","cuba","0.00","2018 est.","85","Central America and the Caribbean"
"Curacao","curacao","0.00","2018 est.","86","Central America and the Caribbean"
"Cyprus","cyprus","0.00","2018 est.","87","Europe"
"Denmark","denmark","0.00","2018 est.","88","Europe"
"Djibouti","djibouti","0.00","2018 est.","89","Africa"
"Dominica","dominica","0.00","2018 est.","90","Central America and the Caribbean"
"Dominican Republic","dominican-republic","0.00","2018 est.","91","Central America and the Caribbean"
"Ecuador","ecuador","0.00","2018 est.","92","South America"
"El Salvador","el-salvador","0.00","2018 est.","93","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","0.00","2018 est.","94","Africa"
"Estonia","estonia","0.00","2018 est.","95","Europe"
"Ethiopia","ethiopia","0.00","2018 est.","96","Africa"
"Fiji","fiji","0.00","2018 est.","97","Australia and Oceania"
"Finland","finland","0.00","2018 est.","98","Europe"
"France","france","0.00","2018 est.","99","Europe"
"Gabon","gabon","0.00","2018 est.","100","Africa"
"Gambia, The","gambia-the","0.00","2018 est.","101","Africa"
"Ghana","ghana","0.00","2018 est.","102","Africa"
"Greenland","greenland","0.00","2018 est.","103","North America"
"Grenada","grenada","0.00","2018 est.","104","Central America and the Caribbean"
"Guam","guam","0.00","2018 est.","105","Australia and Oceania"
"Guatemala","guatemala","0.00","2018 est.","106","Central America and the Caribbean"
"Guinea","guinea","0.00","2018 est.","107","Africa"
"Guinea-Bissau","guinea-bissau","0.00","2018 est.","108","Africa"
"Guyana","guyana","0.00","2018 est.","109","South America"
"Haiti","haiti","0.00","2018 est.","110","Central America and the Caribbean"
"Honduras","honduras","0.00","2018 est.","111","Central America and the Caribbean"
"Hong Kong","hong-kong","0.00","2018 est.","112","East and Southeast Asia"
"Iceland","iceland","0.00","2018 est.","113","Europe"
"Iraq","iraq","0.00","2018 est.","114","Middle East"
"Ireland","ireland","0.00","2018 est.","115","Europe"
"Israel","israel","0.00","2018 est.","116","Middle East"
"Italy","italy","0.00","2018 est.","117","Europe"
"Jamaica","jamaica","0.00","2018 est.","118","Central America and the Caribbean"
"Japan","japan","0.00","2018 est.","119","East and Southeast Asia"
"Jordan","jordan","0.00","2018 est.","120","Middle East"
"Kenya","kenya","0.00","2018 est.","121","Africa"
"Kiribati","kiribati","0.00","2018 est.","122","Australia and Oceania"
"Korea, South","korea-south","0.00","2018 est.","123","East and Southeast Asia"
"Kuwait","kuwait","0.00","2018 est.","124","Middle East"
"Latvia","latvia","0.00","2018 est.","125","Europe"
"Lebanon","lebanon","0.00","2018 est.","126","Middle East"
"Lesotho","lesotho","0.00","2018 est.","127","Africa"
"Liberia","liberia","0.00","2018 est.","128","Africa"
"Libya","libya","0.00","2018 est.","129","Africa"
"Lithuania","lithuania","0.00","2018 est.","130","Europe"
"Luxembourg","luxembourg","0.00","2018 est.","131","Europe"
"Macau","macau","0.00","2018 est.","132","East and Southeast Asia"
"Madagascar","madagascar","0.00","2018 est.","133","Africa"
"Maldives","maldives","0.00","2018 est.","134","South Asia"
"Mali","mali","0.00","2018 est.","135","Africa"
"Malta","malta","0.00","2018 est.","136","Europe"
"Mauritania","mauritania","0.00","2018 est.","137","Africa"
"Mauritius","mauritius","0.00","2018 est.","138","Africa"
"Moldova","moldova","0.00","2018 est.","139","Europe"
"Morocco","morocco","0.00","2018 est.","140","Africa"
"Namibia","namibia","0.00","2018 est.","141","Africa"
"Nepal","nepal","0.00","2018 est.","142","South Asia"
"Netherlands","netherlands","0.00","2018 est.","143","Europe"
"Nicaragua","nicaragua","0.00","2018 est.","144","Central America and the Caribbean"
"Nigeria","nigeria","0.00","2018 est.","145","Africa"
"North Macedonia","north-macedonia","0.00","2018 est.","146","Europe"
"Norway","norway","0.00","2018 est.","147","Europe"
"Oman","oman","0.00","2018 est.","148","Middle East"
"Panama","panama","0.00","2018 est.","149","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","0.00","2018 est.","150","East and Southeast Asia"
"Paraguay","paraguay","0.00","2018 est.","151","South America"
"Peru","peru","0.00","2018 est.","152","South America"
"Portugal","portugal","0.00","2018 est.","153","Europe"
"Puerto Rico","puerto-rico","0.00","2018 est.","154","Central America and the Caribbean"
"Qatar","qatar","0.00","2018 est.","155","Middle East"
"Rwanda","rwanda","0.00","2018 est.","156","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0.00","2018 est.","157","Central America and the Caribbean"
"Saint Lucia","saint-lucia","0.00","2018 est.","158","Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","0.00","2018 est.","159","Central America and the Caribbean"
"Samoa","samoa","0.00","2018 est.","160","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","0.00","2018 est.","161","Africa"
"Saudi Arabia","saudi-arabia","0.00","2018 est.","162","Middle East"
"Senegal","senegal","0.00","2018 est.","163","Africa"
"Seychelles","seychelles","0.00","2018 est.","164","Africa"
"Sierra Leone","sierra-leone","0.00","2018 est.","165","Africa"
"Singapore","singapore","0.00","2018 est.","166","East and Southeast Asia"
"Solomon Islands","solomon-islands","0.00","2018 est.","167","Australia and Oceania"
"Spain","spain","0.00","2018 est.","168","Europe"
"Sri Lanka","sri-lanka","0.00","2018 est.","169","South Asia"
"Sudan","sudan","0.00","2018 est.","170","Africa"
"Suriname","suriname","0.00","2018 est.","171","South America"
"Sweden","sweden","0.00","2018 est.","172","Europe"
"Switzerland","switzerland","0.00","2018 est.","173","Europe"
"Timor-Leste","timor-leste","0.00","2018 est.","174","East and Southeast Asia"
"Togo","togo","0.00","2018 est.","175","Africa"
"Tonga","tonga","0.00","2018 est.","176","Australia and Oceania"
"Trinidad and Tobago","trinidad-and-tobago","0.00","2018 est.","177","Central America and the Caribbean"
"Tunisia","tunisia","0.00","2018 est.","178","Africa"
"Turkmenistan","turkmenistan","0.00","2018 est.","179","Central Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","0.00","2018 est.","180","Central America and the Caribbean"
"Uganda","uganda","0.00","2018 est.","181","Africa"
"United Arab Emirates","united-arab-emirates","0.00","2018 est.","182","Middle East"
"United Kingdom","united-kingdom","0.00","2018 est.","183","Europe"
"Uruguay","uruguay","0.00","2018 est.","184","South America"
"Vanuatu","vanuatu","0.00","2018 est.","185","Australia and Oceania"
"Yemen","yemen","0.00","2018 est.","186","Middle East"